feature,importance_mean,importance_std
ETHNICITY_ASIAN - OTHER,0.0,0.0
ETHNICITY_ASIAN - KOREAN,0.0,0.0
ETHNICITY_ASIAN - JAPANESE,0.0,0.0
ETHNICITY_ASIAN - FILIPINO,0.0,0.0
LANGUAGE_RUSS,0.0,0.0
LANGUAGE_PORT,0.0,0.0
missingindicator_item_220179_count,0.0,0.0
LANGUAGE_*CRE,0.0,0.0
LANGUAGE_*ARM,0.0,0.0
LANGUAGE_*BEN,0.0,0.0
LANGUAGE_*BUL,0.0,0.0
LANGUAGE_*BUR,0.0,0.0
LANGUAGE_*CAN,0.0,0.0
LANGUAGE_*CDI,0.0,0.0
LANGUAGE_*DUT,0.0,0.0
LANGUAGE_*LIT,0.0,0.0
LANGUAGE_*FAR,0.0,0.0
LANGUAGE_*FIL,0.0,0.0
LANGUAGE_*FUL,0.0,0.0
missingindicator_item_8547_min,0.0,0.0
LANGUAGE_*HUN,0.0,0.0
LANGUAGE_*IBO,0.0,0.0
LANGUAGE_*ARA,0.0,0.0
LANGUAGE_*AMH,0.0,0.0
LANGUAGE_**TO,0.0,0.0
LANGUAGE_** T,0.0,0.0
LANGUAGE_* FU,0.0,0.0
INSURANCE_MEDICARE,0.0,0.0
ADMISSION_LOCATION_TRSF WITHIN THIS FACILITY,0.0,0.0
ADMISSION_LOCATION_TRANSFER FROM SKILLED NUR,0.0,0.0
ADMISSION_LOCATION_TRANSFER FROM OTHER HEALT,0.0,0.0
ADMISSION_LOCATION_HMO REFERRAL/SICK,0.0,0.0
ADMISSION_LOCATION_EMERGENCY ROOM ADMIT,0.0,0.0
ADMISSION_TYPE_NEWBORN,0.0,0.0
LAST_CAREUNIT_NICU,0.0,0.0
FIRST_CAREUNIT_NICU,0.0,0.0
DBSOURCE_CAREVUE,0.0,0.0
DBSOURCE_BOTH,0.0,0.0
missingindicator_item_220179_last,0.0,0.0
LANGUAGE_*LEB,0.0,0.0
LANGUAGE_*MAN,0.0,0.0
LANGUAGE_POLI,0.0,0.0
LANGUAGE_HAIT,0.0,0.0
LANGUAGE_CANT,0.0,0.0
LANGUAGE_CAPE,0.0,0.0
LANGUAGE_ETHI,0.0,0.0
LANGUAGE_FREN,0.0,0.0
LANGUAGE_GERM,0.0,0.0
LANGUAGE_GREE,0.0,0.0
LANGUAGE_HIND,0.0,0.0
LANGUAGE_*MOR,0.0,0.0
LANGUAGE_ITAL,0.0,0.0
LANGUAGE_JAPA,0.0,0.0
LANGUAGE_KORE,0.0,0.0
LANGUAGE_LAOT,0.0,0.0
LANGUAGE_MAND,0.0,0.0
LANGUAGE_PERS,0.0,0.0
LANGUAGE_CAMB,0.0,0.0
LANGUAGE_BENG,0.0,0.0
LANGUAGE_ARAB,0.0,0.0
LANGUAGE_AMER,0.0,0.0
LANGUAGE_ALBA,0.0,0.0
LANGUAGE_*YOR,0.0,0.0
LANGUAGE_*YID,0.0,0.0
LANGUAGE_*URD,0.0,0.0
LANGUAGE_*TOI,0.0,0.0
LANGUAGE_*TEL,0.0,0.0
LANGUAGE_*TAM,0.0,0.0
LANGUAGE_*SPA,0.0,0.0
LANGUAGE_*RUS,0.0,0.0
LANGUAGE_*ROM,0.0,0.0
LANGUAGE_*PUN,0.0,0.0
LANGUAGE_*PER,0.0,0.0
LANGUAGE_*NEP,0.0,0.0
LANGUAGE_*GUJ,0.0,0.0
ETHNICITY_WHITE - RUSSIAN,0.0,0.0
missingindicator_item_5820_last,0.0,0.0
item_8549_count,0.0,0.0
missingindicator_item_581_min,0.0,0.0
missingindicator_item_5813_last,0.0,0.0
missingindicator_item_5813_count,0.0,0.0
missingindicator_item_5813_std,0.0,0.0
item_5815_max,0.0,0.0
missingindicator_item_5813_max,0.0,0.0
missingindicator_item_5813_min,0.0,0.0
item_5815_std,0.0,0.0
